Sample index,Time,Init_Cond_1,Init_Cond_2,Dyn_Input_1,Dyn_Input_2,Dyn_Output_1
0,0.0001,0.49802371541501983,0.50197628458498,2.5642598989143858e-23,0.22505159626843735,0.4541591262744959
0,0.1001,0.49802371541501983,0.50197628458498,0.004264079219667545,0.11644500463223209,0.5709806542190421
0,0.2001,0.49802371541501983,0.50197628458498,0.009476365725505743,0.06038644423723595,0.5709232683108454
0,0.3001,0.49802371541501983,0.50197628458498,0.014689228412700988,0.031297781739167814,0.5708599652011019
0,0.4001,0.49802371541501983,0.50197628458498,0.019902674266440927,0.016216912411279184,0.5707936032776149
0,0.5001,0.49802371541501983,0.50197628458498,0.025116707362869736,0.008402328100874526,0.5707256623613781
0,0.6001,0.49802371541501983,0.50197628458498,0.030331330002766416,0.004353610759133039,0.5706569086227551
0,0.7001,0.49802371541501983,0.50197628458498,0.03554654343955315,0.0022558644792222264,0.5705877391122391
0,0.8001,0.49802371541501983,0.50197628458498,0.04076234833540842,0.0011692250350720445,0.570518358738707
0,0.9001,0.49802371541501983,0.50197628458498,0.04597874501843852,0.0006070954524886847,0.5704488737884872
0,1.0001,0.49802371541501983,0.50197628458498,0.05119573363363371,0.0003149449486014622,0.5703793397779773
0,1.1001,0.49802371541501983,0.50197628458498,0.05641331422555446,0.0001633544974444138,0.5703097848282557
0,1.2001,0.49802371541501983,0.50197628458498,0.061631486784303746,8.540739074186813e-05,0.5702402235529864
0,1.3001,0.49802371541501983,0.50197628458498,0.06685025127142441,4.485767456140801e-05,0.5701706638892579
0,1.4001,0.49802371541501983,0.50197628458498,0.0720696076323503,2.3321274746643204e-05,0.5701011098658304
0,1.5001,0.49802371541501983,0.50197628458498,0.07728955580254761,1.2127568766641951e-05,0.5700315634765407
0,1.6001,0.49802371541501983,0.50197628458498,0.08251009571171664,6.560694554330904e-06,0.5699620259146987
0,1.7001,0.49802371541501983,0.50197628458498,0.08773122728558107,3.7992804567883497e-06,0.5698924979986149
0,1.8001,0.49802371541501983,0.50197628458498,0.09295295044778118,2.234721540384647e-06,0.5698229802044297
0,1.9001,0.49802371541501983,0.50197628458498,0.09817526512210918,1.2021165472329318e-06,0.5697534726244742
0,2.0001,0.49802371541501983,0.50197628458498,0.10339817121874398,5.666017145958e-07,0.5696839764262411
0,2.1001,0.49802371541501983,0.50197628458498,0.10862166859240908,2.8425863402011714e-07,0.5696144966727941
0,2.2001,0.49802371541501983,0.50197628458498,0.11384575694851247,1.3594778245755372e-07,0.5695450481174904
